3838082 513  2313 6 -inf 48
3838210 576  2232 7 -inf 52
3836162 16  3231 8 -5 0
3899650 8  1304 8 -3 0
3899410 256  3122 8 -1 0
16548864 17022  2021 0 -inf -10
12485632 16766  3031 0 -inf -10
10454016 894  0102 0 -inf 0
9946112 766  1112 0 -inf 0
9692160 894  1211 0.0 -inf 0.0
9946112 8830  1020 0 -inf -2
5751808 4734  1112 0 -inf 0
5497856 4798  1213 4 -inf 32
5489920 170  4233 7 -inf 16
5488960 18  3344 7 -inf 27
5488897 514  1304 8 -5 0
5488657 4  0213 8 -3 0
5472529 2  1324 8 -1 0
16548864 17199  1122 0 -inf 10
16290816 17323  4233 2 -inf 10
16289856 16667  4142 2 -inf 26
16258112 16669  3334 4 -inf 27
16258050 24600  2213 7 -inf 12
16254210 8208  1011 8 -5 0
8127746 8  1304 8 -3 0
8127506 256  1122 8 -1 0
33062976 16925  3334 4 -inf -3
33062914 16664  0011 4 -inf 12
16547842 17160  1122 4 -inf 26
16289794 17032  3424 5 -inf 27
24937472 17145  0010 0 -inf -12
16548864 19129  1122 1 -inf 4
16290816 17321  4233 3 -inf 12
16289856 17033  2213 4 -inf 10
16286016 16424  1303 6 -inf 48
16286272 36  4142 7 -inf 0
16254528 288  3323 7 -inf 50
16254592 64  4243 8 -1 0
16290816 9047  2223 1 -inf -9
16286848 8790  1011 1 -inf -11
8160256 12822  0102 1 -inf -4
7652352 139798  1122 3 -inf 21
7394304 596  4232 3 -inf 18
7395328 660  0213 5 -inf 41
7379200 516  3233 5 -inf 31
7376960 16388  2213 8 -1 0
20808704 17019  3132 0 -inf 12
20745216 21051  1112 2 -inf 14
20491264 603  0011 2 -inf 16
3976192 843  1122 2 -inf 16
3718144 591  1213 2 -inf 24
3710208 599  1314 4 -inf 22
3709960 547  0102 5 -inf 3
3202056 610  1404 5 -inf 33
3202064 35  3233 7 -inf 52
3200080 37  3334 8 -5 0
3200018 64  2232 8 -1 0
16548864 17231  1000 0.0 -inf -12.0
24937472 19215  1122 0 -inf -4
24679424 17229  2223 2 -inf -12
24675456 262669  2322 4 -inf 10
24679424 526  4233 4 -inf 27
24678464 778  0010 4 -inf 27
16289856 777  4142 4 -inf 27
16258112 8713  2213 6 -inf 48
16254272 514  1304 7 -inf 33
16254032 513  0102 7 -inf 52
15746128 32  3344 8 -1 0
16548864 21051  4233 2 -inf 5
16547904 17202  1122 2 -inf 10
16289856 262962  2212 4 -inf 8
16293952 1554  3343 5 -inf 5
16293920 529  1213 5 -inf 47
16285984 530  4344 6 -inf 28
16285953 16402  1303 7 -inf 12
16286209 4  0313 7 -inf 51
16285953 2  1324 8 -1 0
12485632 891  1102 0 -inf -2
12239872 893  1011 0 -inf -2
4113408 957  4233 1 -inf 6
4112448 921  4142 2 -inf 12
4080704 669  3334 4 -inf 5
4080642 660  0213 7 -inf 25
4064514 12  1102 7 -inf 52
3818754 136  4233 8 -5 0
3817794 16  1314 8 -3 0
3817546 512  1404 8 -1 0
16548864 24639  1122 0 -inf 10
16290816 24879  1011 0 -inf 12
8164352 25135  2213 4 -inf 5
8160512 579  1102 4 -inf 17
7914752 2563  4233 6 -inf 48
7913792 544  1304 7 -inf 52
7913552 1  0414 7 -inf 52
7913544 32  1424 8 -5 0
7913540 1024  3343 8 -1 0
16290816 9082  2223 2 -inf 10
16286848 16954  2333 2 -inf 12
16286784 16698  3344 3 -inf -17
16286721 20506  4233 4 -inf -19
16285761 20746  3324 5 -inf -15
16285701 16768  1011 5 -inf -6
8159237 16528  1122 6 -inf 29
7901189 16392  2213 7 -inf 52
7897349 16400  1303 8 -1 0
16290816 16703  1011 0 -inf 14
8164352 16765  2223 1 -inf -1
8160384 16941  2313 4 -inf 5
8160512 554  1102 4 -inf 26
7914752 523  4233 5 -inf 13
7913792 525  3334 7 -inf 51
7913730 528  3424 8 -3 0
7913732 520  1304 8 -1 0
24937472 17146  0010 0 -inf -12
16548864 8954  0102 0 -inf -4
16040960 8891  0213 4 -inf 5
16024832 43  4233 4 -inf 38
16023872 39  4142 4 -inf 36
15991808 163  4233 4 -inf 21
15990848 5  3334 8 -1 0
16286976 573  1322 2 -inf 8
16290816 697  4233 4.0 -inf 27.0
16289856 538  3324 6 -inf 29
16289796 520  2213 7 -inf 48
16285956 16392  1303 8 -5 0
16286212 256  0302 8 -1 0
32556032 637  0011 1 -inf -2
16040960 761  0213 3 -inf 1
16024832 2105  1122 4 -inf 16
15766784 53  1314 6 -inf 26
15766536 96  4232 6 -inf 28
15767560 1056  2031 6 -inf 28
11638792 96  3142 6 -inf 34
11574280 33  2233 8 -5 0
11570248 34  3344 8 -3 0
11570185 64  4434 8 -1 0
16548864 17267  2021 0 -inf -10
12485632 17331  2122 0 -inf 4
12358656 17323  4233 2 -inf 14
12357696 25099  3324 4 -inf 11
12357636 25120  2433 4 -inf 27
12357696 17184  1020 4 -inf 27
8163392 16936  4142 4 -inf 30
8131648 16680  3344 5 -inf 28
8131585 16408  4233 5 -inf 30
8130625 536  2213 7 -inf 33
8126785 532  1314 8 -5 0
8126537 256  1112 8 -1 0
16548864 17261  1000 0 -inf -12
24937472 25197  2021 0 -inf -12
20874240 25449  3031 0 -inf -10
18842624 25197  2122 0 -inf 8
18715648 25135  2213 4 -inf 10
18711808 609  3132 4 -inf 34
18648064 673  4233 5 -inf 33
18647104 544  3344 6 -inf 6
18647041 1536  4443 6 -inf 33
18647072 256  1102 6 -inf 37
18401312 4096  0212 8 -1 0
33062914 17168  0011 4 -inf 15
16547842 16916  1122 4 -inf 26
16289794 8724  0102 5 -inf 27
15781890 536  2213 7 -inf 51
15778050 532  1314 8 -5 0
15777802 256  1424 8 -1 0
24937472 17262  0010 0 -inf -12
16548864 19246  1122 1 -inf 10
16290816 25134  2213 5 -inf -2
16286976 515  0102 5 -inf 48
15779072 546  1304 6 -inf 10
15778832 96  0413 6 -inf 21
15779072 160  4233 8 -1 0
16548864 17134  1000 0 -inf -12
24937472 16878  0010 0 -inf -12
16548864 16877  1000 0 -inf -12
24937472 20717  1112 2 -inf -7
24683520 365  0010 2 -inf -7
16294912 4397  4233 3 -inf -6
16293952 298  3324 6 -inf -1
16293892 160  2433 8 -1 0
16548864 16827  1000 0 -inf -12
24937472 17323  0010 0.0 -inf -12.0
24937472 17393  0010 0 -inf -12
16548864 21361  1112 2 -inf -12
16294912 819  1222 2 -inf 8
16290816 8755  0102 3 -inf 14
15782912 625  4231 3 -inf 14
15847424 563  2212 3 -inf 14
15851520 307  1011 3 -inf 14
7725056 309  1122 3 -inf 24
7467008 341  2223 5 -inf 20
7463040 81  1213 5 -inf 27
7455104 73  4142 5 -inf 33
7423360 104  3132 5 -inf 36
7359872 41  3233 6 -inf 52
7357888 37  3334 8 -5 0
7357826 64  1324 8 -1 0
16547904 826  3324 3 -inf 19
16547844 808  2434 3 -inf 14
16547842 556  3444 4 -inf -3
16547841 300  4142 5 -inf -3
16516097 140  2021 5 -inf -6
12452865 148  3031 5 -inf -2
10421249 208  4443 5 -inf -2
10421280 4176  3132 5 -inf 0
10357792 4116  3233 6 -inf 31
10355808 516  1112 6 -inf 37
10101856 768  0102 6 -inf 38
9593952 640  1213 8 -1 0
16548864 863  0102 0 -inf -2
16040960 4703  0213 1 -inf -9
16024576 655  1122 1 -inf 8
15766528 159  2031 1 -inf 16
11637760 287  1011 1 -inf 16
3511296 16415  2213 3 -inf 18
3507456 523  1102 3 -inf 48
3261696 519  3121 4 -inf 3
3327232 23  1314 5 -inf 17
3326984 5  4233 6 -inf 21
3326024 3  1424 8 -5 0
3326020 34  4142 8 -3 0
3294276 3  4243 8 -1 0
24937472 16829  0010 0 -inf -12
16548864 16892  1000 0 -inf -12
24937472 1020  0102 0 -inf -4
24429568 1018  1121 0 -inf -2
24298496 987  2131 0 -inf -2
24232960 8923  0213 4 -inf 1
24216832 579  1302 4 -inf 3
24232960 83  3121 4 -inf 3
24298496 147  2122 4 -inf 10
24171520 643  0213 6 -inf 27
24155392 65  2232 6 -inf 33
24153344 96  0001 6 -inf 34
7900416 160  3233 8 -1 0
16548864 703  4233 2 -inf 14
16547904 574  4142 2 -inf 22
16516160 822  3344 3 -inf -14
16516097 16662  2021 3 -inf -10
12452865 8470  0102 3 -inf -4
11944961 8474  3031 3 -inf 0
9913345 8346  0213 4 -inf -3
9896961 642  1102 4 -inf 3
9651201 704  0213 4 -inf 27
9569281 4096  1011 4 -inf 33
1442817 2048  1122 8 -1 0
16290816 8767  0102 1 -inf 14
15782912 827  0211 1 -inf 14
16028672 8763  2213 3 -inf 1
16024832 625  1102 3 -inf 12
15779072 626  1011 3 -inf 12
7652608 563  4233 5 -inf 37
7651648 565  1314 5 -inf 48
7651400 289  1424 8 -5 0
7651396 34  4142 8 -3 0
7619652 3  4243 8 -1 0
32556032 823  0011 1 -inf -2
16040960 695  0213 3 -inf 24
16024832 118  1314 5 -inf 6
16024584 4130  4233 7 -inf 18
16023624 3  1424 8 -5 0
16023620 34  4142 8 -3 0
15991876 3  4243 8 -1 0
16548864 8799  2021 0 -inf -4
12485632 8767  2122 0 -inf 12
12358656 9015  1020 0 -inf 12
8164352 25143  2213 3 -inf 5
8160512 555  0102 4 -inf -3
7652608 557  1304 4 -inf 1
7652368 105  0413 4 -inf 8
7652608 2089  1122 5 -inf 26
7394560 37  2233 5 -inf 48
7390528 38  1323 7 -inf 52
7390400 7  4243 8 -5 0
7389408 11  3324 8 -3 0
7389348 2  4344 8 -1 0
24937472 16703  2021 0 -inf -10
20874240 17199  2122 0 -inf 12
20747264 9007  0010 0 -inf 12
12358656 24879  1020 0 -inf 12
7914496 643  0213 5 -inf 17
7898368 34  4233 6 -inf 23
7897408 3  1324 8 -5 0
7897156 34  4142 8 -3 0
7865412 3  4243 8 -1 0
24937472 17019  0010 0.0 -inf -10.0
16290816 16991  2213 1 -inf 4
16286016 567  1314 4 -inf 13
16285768 549  3334 6 -inf -6
16285954 262176  4142 7 -inf 52
16254210 16777248  3444 8 -3 0
16254209 262144  1312 8 -1 0
16290816 25135  2213 4 -inf -2
16286976 549  0102 5 -inf 3
15779072 609  1304 5 -inf 4
15778832 161  4233 7 -inf 51
15777872 32  4142 8 -5 0
15746128 1  3334 8 -3 0
15746066 32  3444 8 -1 0
33063936 17211  0011 0 -inf -10
16290816 8891  2213 4 -inf 3
16286976 547  4233 5 -inf 36
16286016 1539  3343 6 -inf 48
16285984 513  1011 6 -inf 48
8159520 576  1323 7 -inf 35
8159392 16  1102 7 -inf 51
7913632 512  2313 8 -5 0
7913760 16  1314 8 -3 0
7913512 256  1424 8 -1 0
16286976 599  1314 4 -inf -8
16286728 610  1413 4 -inf -2
16286976 609  0102 4 -inf 12
15779072 4641  4233 7 -inf 36
15778112 1536  3343 8 -5 0
15778080 16  1314 8 -3 0
15777832 512  1404 8 -1 0
16040960 4895  4233 1 -inf -15
16040000 670  1112 2 -inf 36
15786048 4638  3323 4 -inf 18
15786112 786  2333 4 -inf 22
